source=mock_fixture; label=Simulated no-hardware demo fixture; boundary=No hardware - simulated fixture; not live hardware validation.
freq_hz	gain_linear	gain_db	phase_deg	gain_db_raw	phase_deg_raw	gain_db_reference	phase_deg_reference	gain_db_corrected	phase_deg_corrected
1.000000000000000000e+03	1.094642253808950194e+00	7.854441628443292744e-01	-6.891953079929891146e-01	5.427086831566876324e-01	-1.819838384984985957e+00	-2.427354796876416421e-01	-1.130643076991996843e+00	7.854441628443292744e-01	-6.891953079929891146e-01
1.102182525205010279e+03	1.103085386266678736e+00	8.521826214091196006e-01	-4.506312751653002158e-01	6.438734161651408217e-01	-1.636414398218914545e+00	-2.083092052439788067e-01	-1.185783123053614441e+00	8.521826214091196006e-01	-4.506312751653002158e-01
1.214806318867292930e+03	1.109035292774706249e+00	8.989073380133354441e-01	-1.500982625657637237e-01	6.827368587406321687e-01	-1.374816098467378511e+00	-2.161704792727032476e-01	-1.224717835901614871e+00	8.989073380133354441e-01	-1.500982625657637237e-01
1.338938296164155872e+03	1.105547691356706164e+00	8.715496401726136044e-01	-1.018404565396680839e-01	6.722002834469316124e-01	-1.636800657029435779e+00	-1.993493567256820198e-01	-1.534960200489767779e+00	8.715496401726136044e-01	-1.018404565396680839e-01
1.475754392359903022e+03	1.109527309139217932e+00	9.027599224827991264e-01	2.049623023891373741e-01	7.501646391436538330e-01	-1.284844365895737806e+00	-1.525952833391452379e-01	-1.489806668284875180e+00	9.027599224827991264e-01	2.049623023891373741e-01
1.626550702753625046e+03	1.093025148296347782e+00	7.726030860331818406e-01	7.582279819779297325e-01	6.002646641900065694e-01	-7.855282348117070823e-01	-1.723384218431752990e-01	-1.543756216789636815e+00	7.726030860331818406e-01	7.582279819779297325e-01
1.792755760934974433e+03	1.089040632711264278e+00	7.408816765311326824e-01	-3.466570151039831682e-01	5.609803906230828030e-01	-2.179294117701338962e+00	-1.799012859080499349e-01	-1.832637102597355794e+00	7.408816765311326824e-01	-3.466570151039831682e-01
1.975944071663139766e+03	1.076085751795752277e+00	6.369376208045417487e-01	-1.107294263852539595e-01	4.683505153445610691e-01	-1.712249467740025288e+00	-1.685871054599806795e-01	-1.601520041354771440e+00	6.369376208045417487e-01	-1.107294263852539595e-01
2.177851026569549049e+03	1.079580181326204036e+00	6.650980656763962884e-01	-1.089509878330109649e-01	4.946578923090650948e-01	-1.833679009731914222e+00	-1.704401733673312214e-01	-1.724728021898903174e+00	6.650980656763962884e-01	-1.089509878330109649e-01
2.400389343984749303e+03	1.068059379873166126e+00	5.719079683521333113e-01	-3.919569676614250153e-01	4.033409130121872188e-01	-2.242869272662816549e+00	-1.685670553399461202e-01	-1.850912305001391589e+00	5.719079683521333113e-01	-3.919569676614250153e-01
2.645667188628308850e+03	1.070611049769633061e+00	5.926344284209521529e-01	-6.724716651741651230e-01	3.834558996404336950e-01	-2.567990191960609181e+00	-2.091785287805184856e-01	-1.895518526786444058e+00	5.926344284209521529e-01	-6.724716651741651230e-01
2.916008142814389430e+03	1.058077994037381231e+00	4.903536400250969041e-01	-7.267185251557237713e-01	2.584777452279646281e-01	-2.755937060429552776e+00	-2.318758947971323037e-01	-2.029218535273829005e+00	4.903536400250969041e-01	-7.267185251557237713e-01
3.213973218365539196e+03	1.063124267391179378e+00	5.316806336076115302e-01	-1.274997050376960761e+00	3.119273076970440761e-01	-3.607510951777561203e+00	-2.197533259105674541e-01	-2.332513901400600442e+00	5.316806336076115302e-01	-1.274997050376960761e+00
